tweet_id,text,label,event,created_at
1,"Need help! People trapped after earthquake near main road. Please send rescue team.",request_rescue,earthquake_1,2024-01-01T10:00:00Z
2,"Bridge collapsed and roads blocked. Infrastructure severely damaged.",infrastructure_damage,earthquake_1,2024-01-01T10:05:00Z
3,"We have injured people requiring immediate medical assistance.",medical_emergency,earthquake_1,2024-01-01T10:08:00Z
4,"Looking for my brother, last seen near the river after flooding.",missing_person,flood_1,2024-02-10T06:00:00Z
5,"We need clean water and food supplies. Any donation links?",donation_request,flood_1,2024-02-10T06:10:00Z
6,"Power outage across the city; multiple buildings damaged.",infrastructure_damage,storm_1,2024-03-20T19:00:00Z
7,"Please help evacuate elderly residents from the affected area.",request_rescue,storm_1,2024-03-20T19:10:00Z
8,"First aid needed urgently at the shelter; many are injured.",medical_emergency,storm_1,2024-03-20T19:12:00Z
9,"Donation drive started for victims. Clothes and blankets needed.",donation_request,storm_1,2024-03-20T20:00:00Z
10,"Update: situation under control, thanks everyone.",other,storm_1,2024-03-20T21:00:00Z
11,"We are stuck on the third floor, stairs collapsed. Need rescue immediately!",request_rescue,earthquake_2,2024-04-01T09:00:00Z
12,"Family trapped in flooded house near the old bridge, please send rescue boats.",request_rescue,flood_2,2024-04-01T09:05:00Z
13,"Elderly couple stranded on rooftop, water rising fast, urgent rescue needed.",request_rescue,flood_2,2024-04-01T09:10:00Z
14,"People are trapped inside a collapsed parking garage after the quake. Need help.",request_rescue,earthquake_2,2024-04-01T09:15:00Z
15,"Several residents stuck in their apartments due to landslide blocking exits. Send rescue.",request_rescue,landslide_1,2024-04-01T09:20:00Z
16,"We need evacuation for children and elderly from the flooded neighborhood.",request_rescue,flood_2,2024-04-01T09:25:00Z
17,"Injured people lying on the road after the explosion, ambulances required now.",medical_emergency,explosion_1,2024-04-02T10:00:00Z
18,"Multiple people with severe injuries in the shelter, we need doctors and nurses.",medical_emergency,storm_2,2024-04-02T10:05:00Z
19,"Man bleeding heavily after building collapse, emergency medical help needed.",medical_emergency,earthquake_2,2024-04-02T10:10:00Z
20,"Children with broken bones and head wounds at the temporary camp, send medics.",medical_emergency,storm_2,2024-04-02T10:15:00Z
21,"Several residents are vomiting and fainting after drinking contaminated water, need medical team.",medical_emergency,flood_2,2024-04-02T10:20:00Z
22,"My sister has not been seen since last night after the storm hit our area.",missing_person,storm_2,2024-04-03T07:00:00Z
23,"Looking for my father who was last spotted near the collapsed bridge.",missing_person,earthquake_2,2024-04-03T07:05:00Z
24,"Our neighbor disappeared after the landslide; no one can reach her phone.",missing_person,landslide_1,2024-04-03T07:10:00Z
25,"Please help us find a 10-year-old boy missing since the flood started.",missing_person,flood_2,2024-04-03T07:15:00Z
26,"Searching for my uncle who went to deliver supplies and never came back.",missing_person,storm_2,2024-04-03T07:20:00Z
